ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000402.SZ,20210518,6.8,6.86,6.63,6.76,6.8,-0.04,-0.5882,345168.49,232921.701
000402.SZ,20210517,6.72,6.96,6.7,6.8,6.75,0.05,0.7407,407538.68,279056.28
000402.SZ,20210514,6.66,6.95,6.6,6.75,6.57,0.18,2.7397,676546.25,459554.553
000402.SZ,20210513,6.43,6.65,6.43,6.57,6.46,0.11,1.7028,239851.04,157524.724
000402.SZ,20210512,6.43,6.48,6.38,6.46,6.49,-0.03,-0.4622,129006.16,83039.878
000402.SZ,20210511,6.31,6.5,6.29,6.49,6.33,0.16,2.5276,235643.95,151641.286
000402.SZ,20210510,6.33,6.41,6.24,6.33,6.33,0.0,0.0,106384.43,67338.132
000402.SZ,20210507,6.28,6.35,6.27,6.33,6.3,0.03,0.4762,104182.52,65869.037
000402.SZ,20210506,6.24,6.35,6.23,6.3,6.2,0.1,1.6129,127788.56,80510.063
000402.SZ,20210430,6.3,6.3,6.19,6.2,6.3,-0.1,-1.5873,120385.41,74986.511
000402.SZ,20210429,6.27,6.33,6.24,6.3,6.26,0.04,0.639,107474.83,67677.958
000402.SZ,20210428,6.26,6.28,6.21,6.26,6.26,0.0,0.0,74208.63,46423.051
000402.SZ,20210427,6.27,6.31,6.22,6.26,6.26,0.0,0.0,91300.13,57139.353
000402.SZ,20210426,6.34,6.39,6.26,6.26,6.36,-0.1,-1.5723,146198.84,92345.616
000402.SZ,20210423,6.51,6.52,6.33,6.36,6.5,-0.14,-2.1538,206353.03,132023.45
000402.SZ,20210422,6.56,6.61,6.48,6.5,6.57,-0.07,-1.0654,159733.58,104330.055
000402.SZ,20210421,6.53,6.59,6.51,6.57,6.56,0.01,0.1524,119401.23,78223.543
000402.SZ,20210420,6.61,6.67,6.51,6.56,6.63,-0.07,-1.0558,152375.63,100477.414
000402.SZ,20210419,6.63,6.68,6.61,6.63,6.64,-0.01,-0.1506,189322.18,125719.936
000402.SZ,20210416,6.54,6.64,6.5,6.64,6.58,0.06,0.9119,173131.78,114219.262
000402.SZ,20210415,6.55,6.59,6.47,6.58,6.53,0.05,0.7657,160964.48,105043.488
000402.SZ,20210414,6.49,6.58,6.49,6.53,6.51,0.02,0.3072,133630.28,87213.249
000402.SZ,20210413,6.74,6.76,6.48,6.51,6.75,-0.24,-3.5556,319598.15,210152.762
000402.SZ,20210412,6.73,6.84,6.69,6.75,6.75,0.0,0.0,259834.46,175923.247
000402.SZ,20210409,6.71,6.9,6.7,6.75,6.73,0.02,0.2972,211834.88,143490.673
000402.SZ,20210408,6.95,7.02,6.73,6.73,7.02,-0.29,-4.1311,398346.89,271085.027
000402.SZ,20210407,6.93,7.11,6.88,7.02,6.99,0.03,0.4292,366453.23,257165.538
000402.SZ,20210406,6.96,7.14,6.85,6.99,7.0,-0.01,-0.1429,441975.47,307521.787
000402.SZ,20210402,6.82,7.46,6.71,7.0,6.86,0.14,2.0408,629580.52,440140.033
000402.SZ,20210401,6.8,6.88,6.7,6.86,6.83,0.03,0.4392,355366.95,241315.247
000402.SZ,20210331,6.78,6.9,6.68,6.83,6.93,-0.1,-1.443,388635.21,264119.602
000402.SZ,20210330,7.15,7.19,6.77,6.93,7.28,-0.35,-4.8077,669312.17,464003.222
000402.SZ,20210329,7.1,7.47,7.01,7.28,7.16,0.12,1.676,791139.07,576215.951
000402.SZ,20210326,7.06,7.68,7.06,7.16,7.16,0.0,0.0,956078.74,699073.86
000402.SZ,20210325,7.77,8.09,7.12,7.16,7.46,-0.3,-4.0214,1295197.27,984007.006
000402.SZ,20210324,6.69,7.46,6.67,7.46,6.78,0.68,10.0295,773300.06,555216.542
000402.SZ,20210323,6.91,6.93,6.73,6.78,7.03,-0.25,-3.5562,370130.56,252234.38
000402.SZ,20210322,6.8,7.25,6.78,7.03,6.72,0.31,4.6131,593833.42,415166.973
000402.SZ,20210319,6.51,6.82,6.43,6.72,6.65,0.07,1.0526,410120.02,272169.914
000402.SZ,20210318,6.61,6.77,6.54,6.65,6.65,0.0,0.0,325721.44,215948.026
000402.SZ,20210317,6.8,6.81,6.59,6.65,6.95,-0.3,-4.3165,381466.01,254406.972
000402.SZ,20210316,6.75,6.99,6.63,6.95,6.66,0.29,4.3544,617248.99,420508.667
000402.SZ,20210315,6.85,6.95,6.63,6.66,6.93,-0.27,-3.8961,513921.74,346203.55
000402.SZ,20210312,6.56,7.3,6.52,6.93,6.7,0.23,3.4328,723429.79,503381.868
000402.SZ,20210311,6.65,6.97,6.6,6.7,6.34,0.36,5.6782,564634.82,381748.169
000402.SZ,20210310,6.15,6.49,6.13,6.34,6.16,0.18,2.9221,303538.15,192486.152
000402.SZ,20210309,6.25,6.26,6.08,6.16,6.28,-0.12,-1.9108,181207.31,111631.433
000402.SZ,20210308,6.17,6.28,6.15,6.28,6.17,0.11,1.7828,202220.59,125544.026
000402.SZ,20210305,6.19,6.23,6.12,6.17,6.19,-0.02,-0.3231,111875.98,68978.902
000402.SZ,20210304,6.11,6.22,6.1,6.19,6.13,0.06,0.9788,159775.16,98544.473
000402.SZ,20210303,6.12,6.24,6.1,6.13,6.12,0.01,0.1634,254476.9,156811.797
