ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000031.SZ,20211231,3.66,3.76,3.64,3.73,3.68,0.05,1.3587,128711.93,47788.307
000031.SZ,20211230,3.66,3.68,3.63,3.68,3.64,0.04,1.0989,105136.72,38432.44
000031.SZ,20211229,3.68,3.71,3.62,3.64,3.7,-0.06,-1.6216,111292.55,40582.023
000031.SZ,20211228,3.68,3.71,3.6,3.7,3.68,0.02,0.5435,163015.91,59559.23
000031.SZ,20211227,3.66,3.74,3.64,3.68,3.63,0.05,1.3774,168161.63,62117.816
000031.SZ,20211224,3.71,3.73,3.63,3.63,3.72,-0.09,-2.4194,157609.21,57628.831
000031.SZ,20211223,3.81,3.85,3.68,3.72,3.85,-0.13,-3.3766,300273.06,112330.401
000031.SZ,20211222,4.06,4.06,3.79,3.85,4.06,-0.21,-5.1724,548706.8,213071.547
000031.SZ,20211221,3.71,4.06,3.66,4.06,3.69,0.37,10.0271,690726.77,270680.6
000031.SZ,20211220,3.59,3.71,3.59,3.69,3.61,0.08,2.2161,248501.02,91076.8
000031.SZ,20211217,3.58,3.63,3.56,3.61,3.56,0.05,1.4045,116928.0,42058.671
000031.SZ,20211216,3.62,3.62,3.55,3.56,3.59,-0.03,-0.8357,91748.85,32794.852
000031.SZ,20211215,3.5,3.64,3.48,3.59,3.48,0.11,3.1609,219507.43,78653.241
000031.SZ,20211214,3.49,3.51,3.47,3.48,3.51,-0.03,-0.8547,120379.58,42033.42
000031.SZ,20211213,3.47,3.51,3.45,3.51,3.47,0.04,1.1527,110063.47,38440.114
000031.SZ,20211210,3.49,3.5,3.45,3.47,3.5,-0.03,-0.8571,94843.64,32962.107
000031.SZ,20211209,3.45,3.51,3.43,3.5,3.45,0.05,1.4493,153497.41,53426.646
000031.SZ,20211208,3.49,3.49,3.39,3.45,3.44,0.01,0.2907,108605.27,37306.317
000031.SZ,20211207,3.44,3.49,3.4,3.44,3.4,0.04,1.1765,146850.39,50619.946
000031.SZ,20211206,3.42,3.48,3.39,3.4,3.42,-0.02,-0.5848,84022.6,28747.767
000031.SZ,20211203,3.4,3.42,3.38,3.42,3.39,0.03,0.885,84089.99,28624.415
000031.SZ,20211202,3.38,3.41,3.35,3.39,3.38,0.01,0.2959,93953.0,31883.553
000031.SZ,20211201,3.33,3.39,3.32,3.38,3.34,0.04,1.1976,78657.4,26496.23
